name,description
Carambula,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Carrot,"People first grew carrots as medicine, not food, for a variety of ailments. 
 Carrots can be traced back about 5,000 years through historical documents and paintings. No one knows exactly when the first carrots appeared, because many people mistook them for parsnips, a close relative of the carrot. 
 A medium-size carrot has 25 calories, 6 grams of carbs, and 2 grams of fiber. The veggie is an excellent source of vitamin A, providing more than 200% of your daily requirement in just one carrot. Carrots are loaded with beta-carotene, a natural chemical that the body changes into vitamin A. The deeper orange the carrot, the more beta-carotene you’re getting. 
 We think of carrots as orange, but they can also be white, yellow, red, and purple. 
 Mel Blanc, the voice of cartoon character Bugs Bunny, reportedly did not like carrots.The deeper orange the carrot, the more beta-carotene you’re getting."
Cauliflower,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Cherry,"It’s likely George Washington never cut down a cherry tree. 
 The average cherry tree has 7,000 cherries. 
 A cherry tree can be harvested in seven seconds. Japanese cherry blossom trees don’t produce fruit. 
 There are two main types of cherries: sweet and tart.Door County, Wisconsin, is nicknamed Cherryland USA.Traverse City, Michigan, is known as the Cherry Capital of the World. 
 The Midwest has ideal weather conditions for growing tart cherries.Michigan hosts official cherry pit-spitting contests-and they’re pretty awesome.  
 This ruby red fruit delivers some health benefits, too."
Chestnut,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Clementine,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Cocos,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Corn,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Cucumber,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Dates,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Eggplant,"Italians once believed that eggplants made you insane. 
 Eggplant is a berry.  
 The first wild eggplant was a small prickly topped fruit. 
 Eggplants were once used to dye teeth for fashion. 
 Eggplants are reported to have the highest level of nicotine of any other vegetable. 
 Eggplants contain a rare antioxidant. "
Fig,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Garlic,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Ginger,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Granadilla,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Grape,"Grapes were first cultivated over 8000 years ago. 
 Grapes with black skins are dried to make raisins, whereas sultanas are dried from small seedless green grapes. Americans call all dried grapes ‘raisins’. 
 There are many hundreds of varieties of grapes but the favourites are: 
 Green – Thomson seedless, Waltham Cross and Menindee Seedless,  
 Purple/Pink – Muscat, Purple Cornichon, Ribiers, Black Muscat, Flame Seedless and Red Globe. 
 Grapes have a high sugar content with half as glucose and half as fructose. 
 Grapes also contribute some dietary fibre and vitamin C. 
 Grapes also contain adequate amounts of potassium and vitamin A and are low in sodium."
Grapefruit,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Guava,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Hazelnut,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Huckleberry,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Jalapeno,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Kaki,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Kiwi,"Kiwi Fruit is actually native to China and were brought to New Zealand by missionaries in the early 20th Century and were originally called Yang Tao. In 1960 they were renamed Chinese Goosberries. 
 Kiwi Fruit is the most nutrient dense of all the major fruits. 
 Nutrients most commonly associated with Kiwi Fruit including Vitamin C or beta–carotene. 
 Kiwis are packed with more vitamin C than an equivalent amount of orange. 
 Kiwi is a good source of the important fat–soluble antioxidant - Vitamin E. This combination of both fat and water soluble antioxidants - Vitamin C, makes Kiwi able to provide free radical protection on all fronts. 
 Kiwi also has a good source of the minerals: potassium, magnesium, copper and phosphorous. 
 Kiwi Fruit is high in fibre. 
 California Kiwi Fruit is available November through to May, while the New Zealand crop hits the market in June through to October. 
 Enjoying just a couple of Kiwi Fruit each day may significantly lower your risk for blood clots and reduce the amount of fats (triglycerides) in your blood, therefore helping to protect cardiovascular health. 
 Store unripe kiwis at room temperature until skin indents slightly when touched. Place kiwi in a paper bag with an apple or banana, or in a ripening bowl to speed ripening. Ripe kiwis can be kept in the refrigerator for up to three weeks."
Kohlrabi,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Kumquats,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Lemon,"Lemons are native to Asia. 
 Lemons are a hybrid between a sour orange and a citron. 
 Lemons are rich in vitamin C. 
 Lemons trees can produce up to 600lbs of lemons every year. 
 Lemon trees produce fruit all year round. 
 Lemon zest, grated rinds, is often used in baking. 
 Lemon tree leaves can be used to make tea. 
 The high acidity of lemons make them good cleaning aids. 
 California and Arizona produces most of the United States’ lemon crop. 
 The most common types of lemons are the Meyer, Eureka, and Lisbon lemons."
Limes,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Lychee,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Mandarine,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Mango,"Mangoes are known as the King of Fruits. 
 A mango tree doesn’t produce fruit until it’s about four years old. 
 Mangoes are picked when mature, and more green than yellow. 
 Mangoes belong to the same family as the cashew and the pistachio nut. 
 Mangoes are eaten green in parts of Asia, often sprinkled with a mixture of salt and sugar. 
 Mangoes are now grown in most tropical countries and are abundant in the northern parts of Australia. 
 In Australia – the most common mango is Kensington Pride or Bowen Special. 
 Mangoes are an excellent source of vitamin C, beta carotene and other related carotenoids. The deeper the colour of the flesh, the higher the carotenoid level. 
 Mangoes also supply some dietary fibre."
Mangostan,"Mangosteen is an evergreen tree with dense, roundish crown. It can reach 20 to 82 feet in height. 
 Mangosteen develops thick, elliptical, dark green leaves that are oppositely arranged on the branches. 
 Mangosteen produces pinkish white flowers that grow solitary or arranged in pairs. Male and female flowers develop on the separate trees (dioecious plant). Mangosteen is apomictic plant, which means that female trees produce fruit without pollination. 
 Mangosteen produces dark-purple or red-purple fruit with soft, thick rind on the surface. Flesh consists of 4 to 8 juicy, triangular segments that are white-colored. Each segment contains 1 to 4 seed. Rind and seed are not edible. 
 Mangosteen tree starts to bear fruit 7 to 10 years after planting. It produces fruit two times per year. Depending on the age of tree, mangosteen can produce from 200 to 3.000 fruit per season (older trees produce more fruit). Mangosteen is available in the supermarkets around the world from June to October. 
 Mangosteen is rich source of dietary fibers, vitamins C, B1, B3 and B9 and minerals such as copper, manganese and magnesium. 
 Mangosteen is very fragrant and it has slightly acidic taste that resembles a mix between the orange and peach. It can be consumed alone or in combination with coconut, peach, papaya, grapes, watermelon and passion fruit. 
 Mangosteen is also used for the preparation of ice-creams, sorbets, musses, yogurts, smoothies, cocktails and salad dressings. 
 Durian (tropical fruit covered with thorny husk) and mangosteen are usually placed next to each other in the markets, because durian produces strong heating effect which mangosteen easily neutralizes. 
 Rind of mangosteen is used for leather tanning in China. 
 Rind contains yellow latex which leaves black stains on the clothes and hands. 
 Mangosteen is often labeled as <superfruit> due to high content of antioxidants (substances which prevent cell damage) and because of its high nutritional value. 
 Dried rind of mangosteen can be used in treatment of dysentery, diarrhea, ulcers, pain, infected wounds, fever and skin disorders such as eczema. 
 Mangosteen is national fruit of Thailand. 
 Mangosteen is perennial plant that can survive more than 100 years in the wild."
Maracuja,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Melon,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Mulberry,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Nectarine,"Nectarines are like peaches without the fuzzy skin. 
 Nectarines are a great source for vitamin A and various phytochemicals that are good for your eyes and joints. 
 Nectarines are low in fat, saturated fat free, sodium free, cholesterol free and a great source of vitamin C. 
 To speed up the ripening process, place nectarines in a paper bag and store loosely at room temperature until ripe and then they will keep refrigerated for up to a week."
Nut,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Onion,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Orange,"One orange supplies a healthy dose of Vitamin C, which plays an important role in cancer prevention, healthy blood circulation and wound healing. 
 Oranges are a good source of the crucial B-vitamin folate, which is essential in preventing birth defects and fighting heart disease. 
 Oranges provide more than seven percent of the Daily Value for potassium, which is needed for proper fluid balance. 
 Navel oranges are named that because of the belly-button formation opposite the stem end. The bigger the navel in an orange, the sweeter it will be. 
 Oranges, as well as other fruits, contain a water-soluble fibre called pectin. Studies show that pectin helps reduce blood cholesterol levels. This may explain why individuals who eat several servings daily of fruits, such as oranges, and vegetables have a lower risk for heart disease. 
 Oranges are high in antioxidants, which neutralize the effects of free radicals, unstable oxygen molecules in your body, believed to cause aging and some diseases. 
 After chocolate and vanilla, orange is the world's favorite flavor."
Papaya,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Passion,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Peach,"Peaches are very sensitive, bruising easily and should be handled with care. 
 Peaches are low in calories and are a good source of vitamin A, phytochemicals and fibre. 
 A medium peach packs a powerful 465 IU of vitamin A to combat the effects of aging. 
 Other benefits include vitamin B, folic acid, vitamin c, calcium, fibre, potassium and a little zinc. 
 The beta carotene found in peaches also helps build a strong immune system to prevent damage from free radicals and to avert many skin diseases. Beta carotene is a provitamin that the body converts into vitamin A. 
 To ripen peaches, store in a brown bag at room temperature. Once ripe they may be stored in the refrigerator for up to a week, depending on the degree of ripeness."
Pear,"Pears are an ideal weight loss food, 98% of their energy is from carbohydrates, which contain half the calories of fat. 
 Pears are rich in pectin, a soluble fibre which helps the body to eliminate cholesterol and also protects against environmental toxins. 
 Pears are an excellent source of dietary fibre, vitamin C, copper and vitamin K. 
 Pears also have good sources of the B complex vitamins and also contain vitamin C. In addition they also contain small amounts of phosphorus and iodine. 
 Pears help to lower cholesterol. 
 Did you know that it takes about 100 to 170 days for a winter pear to develop from a flower?"
Peas,"The Latin name for peas is pisum sativum. 
 The first peas were frozen by Clarence Birdseye who invented the 'plate froster' to preserve foods in the 1920s. 
 On average everyone in Britain eats nearly 9,000 peas per year. 
 The world record for eating peas is held by Janet Harris of Sussex who, in 1984, ate 7175 peas one by one in 60 minutes using chopsticks! 
 Thick London fogs of the 19th and 20th centuries were dubbed 'pea-soupers' because of their density and green tinge. 
 There are 35,000 hectares of peas grown in the UK each year, equivalent to about 70,000 football pitches. This produces about 160,000 tonnes of frozen peas - that's 2 billion 80 gram portions."
Pepino,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Pepper,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Physalis,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Pineapple,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Pitahaya,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Plum,"There are two major types of plums - European plums and Japanese plums. 
 Plums are related to cherries and are members of the rose family. 
 Did you know that prunes are dried plums? 
 Plums have some fructose and sucrose, but most of the sugar is in the form of glucose. 
 Plums contain moderate amounts of vitamin C and small quantities of other vitamins and minerals. 
 Plums supply moderate quantities of dietary fibre, mostly soluble fibre."
Pomegranate,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Pomelo,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Potato,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Quince,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Quince,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Raddish,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Rambutan,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Raspberry,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Redcurrant,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Salak,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Soybeans,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Spinach,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Strawberry,"A Strawberry has approximately 200 seeds on it. 
 Strawberries are not really a berry but a member of the rose family and the real fruits are actually the tiny yellow seeds. 
 Strawberries grow wild all over Europe and have been cultivated for the last 700 years. 
 Strawberries contact fructose and glucose. 
 Strawberries are an excellent source of vitamin C. 
 The seeds on a Strawberry provide a good source of dietary fibre. 
 Strawberries also contain some folate and one of the B complex vitamins"
Tamarillo,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Tangelo,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Tomato,"Tomatoes Are Not Always Red 
 There Are Over 10 Thousand Varieties Of Tomato 
 Tomatoes Are Technically A Fruit 
 Tomatoes Have Been to Space 
 The First Tomatoes were Gold and Considered an Aphrodisiac   
 China is the Largest Producer of Tomatoes 
 There’s Some Guinness Book Of World Records Tomatoes 
 Tomatoes Are Very Rich in Lycopene 
 Tomatoes are Well-Known for Heart Health 
 The Word Tomato Comes from Spanish"
Turnip,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Walnut,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
Watermelon,"Fun facts Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts 
 Fun facts Fun facts Fun facts"
